Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),Stress Error Percentage (%),Current (A)
78.99999999999986,4.133188258101578,4.133737662462611,0.0005494043610330124,0.013292507544414642,29730.438747649427,29732.217646426066,1.778898776639835,0.005983425914898346,1.2309141554783916e6,1.2203338338491349e6,-10580.321629256709,-0.8595499192341884,0.5575500000001673
79.99999999999986,4.157987590627013,4.157348924074541,-0.0006386665524722446,-0.015359991788141325,29728.56443919305,29730.360418721782,1.79597952873155,0.0060412588451926605,1.2351919050015956e6,1.2243597934785252e6,-10832.111523070373,-0.8769577811519401,-0.019865999999917946
80.99999999999984,4.102515711069427,4.104800875782066,0.00228516471263962,0.055701546894111297,29737.535266353276,29739.33880877273,1.8035424194531515,0.006064868534998531,1.028616392288246e6,1.0177568948356814e6,-10859.497452564538,-1.055738323244747,1.3511999999997857
81.99999999999984,4.088201230642582,4.091318541331538,0.003117310688955932,0.07625140038583557,29735.764462564654,29737.56226849745,1.797805932797928,0.006045938166685595,1.0466872172265941e6,1.0360757823209495e6,-10611.434905644623,-1.0138114549408304,1.785199999999932
82.99999999999983,4.073359813095793,4.077219761537498,0.003859948441705008,0.09476080235522845,29722.93378048175,29724.731395179366,1.7976146976143355,0.00604790466139914,1.2795668662515962e6,1.2690892452430497e6,-10477.621008546557,-0.818841225487499,2.2522999999999205
83.99999999999983,4.052921511720663,4.058036520369346,0.005115008648683528,0.1262054701501475,29709.980552257355,29711.842119500543,1.861567243187892,0.006265797582443892,1.5007366992720354e6,1.4891343692267204e6,-11602.330045314971,-0.7731089704771616,2.9826999999998756
84.99999999999983,4.071546753209252,4.074913589038464,0.003366835829211823,0.08269181304520289,29693.748815724273,29695.79652196149,2.047706237215607,0.0068960852667119205,1.775852645694538e6,1.7607984560711745e6,-15054.189623363549,-0.847716146937171,2.1935000000001343
85.99999999999982,4.081775636120382,4.084228542698458,0.002452906578076508,0.06009410601529117,29682.852306782133,29685.106202731477,2.253895949343132,0.007593259320392694,1.9337826771794683e6,1.9150783862641635e6,-18704.290915304795,-0.9672385183730193,1.7884000000000748
86.99999999999982,4.095046542139779,4.0966773934474,0.0016308513076204179,0.03982497612269509,29681.05530098503,29683.450924668174,2.39562368314364,0.008071221386337082,1.9088699151226815e6,1.887955411224585e6,-20914.503898096504,-1.0956484636488362,1.3548000000000802
87.9999999999998,4.0940822480721355,4.095821828479418,0.001739580407282837,0.04249011870980337,29682.136738449248,29684.61974115622,2.4830027069729113,0.008365309845623453,1.833692525027901e6,1.8117031081086951e6,-21989.416919205803,-1.1991877928864447,1.370299999999997
88.9999999999998,4.093361235774885,4.095204624863341,0.001843389088456604,0.045033628411435454,29683.098619588203,29685.625172299733,2.5265527115298028,0.008511755271609356,1.7679531346602777e6,1.7457538673214617e6,-22199.267338816077,-1.255647952629796,1.3857999999999968
89.99999999999979,4.119437402041653,4.119907310439657,0.00046990839800375994,0.011407101313661582,29681.898844335337,29684.458257262162,2.5594129268247343,0.008622807254506856,1.749603872066937e6,1.7273698409701379e6,-22234.031096799066,-1.2708037203034053,0.6859600000001492
90.99999999999979,4.139685736535773,4.139286377012404,-0.00039935952336911384,-0.009647097600778537,29684.758824556946,29687.31271116886,2.5538866119131853,0.008603359815072719,1.6527394965286858e6,1.631195246258218e6,-21544.250270467717,-1.3035478558912617,0.21285000000010085
