Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),average Stress Error (Pa),Stress Error Percentage (%),average Stress Error Percentage (%),Current (A)
42.0,4.180689403593384,4.181320335381048,0.0006309317876640463,0.002684099368845545,0.015091572866469062,0.06590568279918213,29863.856474990276,29863.852019455677,-0.00445553459940129,5.68281815330454,-1.4919488389359935e-5,0.01936401468212504,-508918.5730904414,-493366.6927800153,-15551.880310426117,23089.41289734932,3.055868096144793,2.3697974633638563,0.012859
43.0,4.179975228467169,4.180409442172637,0.0004342137054678119,0.002684099368845545,0.01038794925172419,0.06590568279918213,29857.41637099317,29857.438740571095,0.022369577924109763,5.68281815330454,7.492134498898596e-5,0.01936401468212504,-365969.0222913021,-351709.24371130945,-14259.77857999265,23089.41289734932,3.8964441554952773,2.3697974633638563,0.012859
44.0,4.179390889418321,4.179714791745614,0.0003239023272927355,0.002684099368845545,0.007749988834804001,0.06590568279918213,29853.629815184555,29853.69042001555,0.06060483099645353,5.68281815330454,0.00020300657364495048,0.01936401468212504,-282079.42596755765,-269213.51520395104,-12865.910763606604,23089.41289734932,4.561095060185754,2.3697974633638563,0.012859
45.0,4.1789154833261355,4.179169570785351,0.00025408745921584597,0.002684099368845545,0.00608022488680746,0.06590568279918213,29851.027540689676,29851.129765173515,0.10222448383865412,5.68281815330454,0.00034244879409699657,0.01936401468212504,-224479.7893214041,-212965.71148109573,-11514.077840308368,23089.41289734932,5.129226945158445,2.3697974633638563,0.012859
46.0,4.178525928597889,4.178730139496205,0.0002042108983157931,0.002684099368845545,0.004887151636852865,0.06590568279918213,29849.092242121802,29849.234061976193,0.14181985439063283,5.68281815330454,0.0004751228387123362,0.01936401468212504,-181704.8240868855,-171411.55292098515,-10293.27116590034,23089.41289734932,5.664830979379184,2.3697974633638563,0.012859
47.0,4.178205178043371,4.178372882414603,0.0001677043712318138,0.002684099368845545,0.004013789751472875,0.06590568279918213,29847.59145856044,29847.76969072522,0.1782321647806384,5.68281815330454,0.00059714086152677,0.01936401468212504,-148597.81299291694,-139389.34299406293,-9208.469998854009,23089.41289734932,6.196908159942394,2.3697974633638563,0.012859
48.0,4.177940329316343,4.1780794305913815,0.0001391012750389109,0.002684099368845545,0.0033294222529423427,0.06590568279918213,29846.395284747097,29846.606581149048,0.21129640195067623,5.68281815330454,0.0007079461353199278,0.01936401468212504,-122274.20322970147,-114025.47610532294,-8248.727124378522,23089.41289734932,6.746089450186525,2.3697974633638563,0.012859
49.0,4.17710034716433,4.177244262711821,0.0001439155474907139,0.002684099368845545,0.0034453457070623764,0.06590568279918213,29845.42274968552,29845.663861430672,0.24111174515201128,5.68281815330454,0.0008078684198050165,0.01936401468212504,-100934.29588539895,-93533.24930543189,-7401.046579967064,23089.41289734932,7.332538970074384,2.3697974633638563,0.026246
50.0,4.119070933777001,4.121876283776642,0.0028053499996403275,0.002684099368845545,0.06810637749974237,0.06590568279918213,29844.528259742518,29844.796090936,0.2678311934832891,5.68281815330454,0.000897421434013981,0.01936401468212504,-81576.08354987799,-74922.36200453303,-6653.721545344961,23089.41289734932,8.156461129047317,2.3697974633638563,1.4175
51.0,4.0894774339017745,4.093813225347362,0.004335791445587489,0.002684099368845545,0.10602311702819951,0.06590568279918213,29834.344382053194,29834.626419220545,0.2820371673515183,5.68281815330454,0.0009453439423363945,0.01936401468212504,119958.20905762307,126143.10121119642,6184.892153573353,23089.41289734932,5.155872367686301,2.3697974633638563,2.3404
