Time (s),Voltage (V),Concentration (mol/m³),Stress (Pa)
1123.999999999999,4.11864565609768,29759.157524852584,1.3791121048991473e6
1124.999999999999,4.1193209120353265,29758.667609212105,1.3552673694855806e6
1125.9999999999989,4.118542158217219,29758.12011160196,1.3342666697184816e6
1126.9999999999989,4.117176643976528,29757.140440502284,1.3230678772291364e6
1127.9999999999989,4.116345978886756,29755.623260255692,1.323046706731808e6
1128.9999999999989,4.11655105633365,29753.811443254228,1.3287934093938242e6
1129.9999999999989,4.118139030881356,29752.081444661213,1.3326830864288867e6
1130.9999999999986,4.120948081569486,29750.78024801702,1.3281128810453708e6
1131.9999999999986,4.12480080201548,29750.148033707716,1.3108860182644501e6
1132.9999999999986,4.129029478378067,29750.29098257894,1.2795729867366608e6
1133.9999999999986,4.133427700897174,29751.157306464564,1.2358254224193415e6
1134.9999999999986,4.137745372009254,29752.599370978995,1.183003794702998e6
1135.9999999999986,4.142456445671856,29754.476953456113,1.1240956406689729e6
1136.9999999999984,4.147595841383698,29756.753332452477,1.0598930279489895e6
1137.9999999999984,4.153541209865702,29759.317823855992,992642.7881143922
1138.9999999999984,4.160325520340388,29762.09895058476,923735.8306678025
1139.9999999999984,4.165207853059015,29768.625396802516,830024.5068496556
1140.9999999999984,4.166120361341679,29778.719563615625,714990.981590999
1141.9999999999982,4.1626340200503735,29791.134323889088,603045.1283236423
1142.9999999999982,4.155260220472305,29805.07411511118,508373.8229521313
1200.0,4.144832539717724,29820.23072086294,435060.7062545085
1201.0,4.137374065713428,29829.558474024052,427203.87770839606
1201.9999999999998,4.134797331515202,29833.51594553743,474305.89557495096
1202.9999999999998,4.1371297385238295,29834.28515609187,532581.9470691385
1203.9999999999998,4.143026374538839,29833.253947995378,576320.6811922996
1204.9999999999998,4.148990526722602,29830.91071223871,598460.3538879727
1205.9999999999998,4.1499785683915835,29830.328646381193,587227.1701873547
1206.9999999999995,4.146356504667244,29830.276142043218,568121.1858471299
1207.9999999999995,4.138104381399773,29829.00317891658,575290.9557729546
1208.9999999999995,4.125789262132352,29825.487008606295,626818.9747937904
1209.9999999999995,4.112984620621805,29819.180079398124,730880.3341058306
1210.9999999999995,4.103783806288903,29810.368476397864,879246.935553702
1211.9999999999993,4.098249535276592,29800.43580447951,1.0429553404992614e6
1212.9999999999993,4.097874991027441,29790.898740938428,1.1922496585393117e6
1213.9999999999993,4.103049455278709,29782.9707416125,1.3048456921443592e6
1214.9999999999993,4.113400163668412,29777.724214532405,1.3620986129180794e6
1215.9999999999993,4.123752469335134,29775.884655318117,1.3527930675059638e6
1216.999999999999,4.133016612551234,29776.995464719665,1.2891240959456433e6
1217.999999999999,4.139410664447265,29779.76406664598,1.198590233914558e6
1218.999999999999,4.142543062215465,29783.071513098188,1.1035462485262763e6
1219.999999999999,4.142087533551005,29785.948158220253,1.0223126418582607e6
1220.999999999999,4.142454045352316,29787.674261095166,967559.1762778091
1221.9999999999989,4.1435211481632095,29788.444788060937,933607.5048305584
1222.9999999999989,4.145921940032954,29789.005684160897,904632.067549485
1223.9999999999989,4.151179698345651,29789.764584036613,872525.3887358839
1224.9999999999989,4.1569949768456285,29790.85476773657,836031.107128988
1225.9999999999989,4.161995764096128,29792.24669300986,796101.7246930115
1226.9999999999989,4.155185263094642,29807.711792014023,617525.6702344979
1227.9999999999986,4.144739962959138,29822.813084596117,449551.24803697364
1300.0,4.139758463379544,29832.339844191545,394123.2460867133
1301.0,4.137696579721368,29839.900978152516,372823.63658543455
1302.0,4.14749776500795,29848.108533449522,333602.6131942548
1302.9999999999998,4.155387002410432,29843.635666811908,417004.7522280535
1303.9999999999998,4.173100019846586,29836.181261888243,556000.7361246097
