Time [s],Current [A],Voltage_P2D [V],Voltage_sP2D [V],Voltage_Error [V],Concentration_P2D [c/c_max],Concentration_sP2D [c/c_max],Concentration_Error [c/c_max],Overpotential_Neg_P2D [V],Overpotential_Pos_P2D [V],Overpotential_Neg_sP2D [V],Overpotential_Pos_sP2D [V],Overpotential_Error [V],Stress_Neg_P2D [σ/E],Stress_Pos_P2D [σ/E],Stress_Neg_sP2D [σ/E],Stress_Pos_sP2D [σ/E],Stress_Error [σ/E]
819.9999999999857,0.41800679192973494,4.116675399928772,4.117511046356192,0.0008356464274204001,0.8826527655938791,0.882646728901959,6.03669192000833e-6,0.014223497807108106,-0.0011927061129289097,0.014236150455974934,-0.0011961732941911404,1.2652648866828473e-5,5.2052536133264414e-5,8.769108104154108e-5,5.199833436203159e-5,8.815805870262092e-5,5.4201771232822266e-8
820.9999999999857,0.5486029258053481,4.111158978020466,4.112211970412728,0.0010529923922621975,0.8825917142902175,0.8825856637821451,6.050508072452665e-6,0.01848750413524313,-0.0015727137768099884,0.0185035440219059,-0.001572340105717063,1.6039886662769925e-5,5.398721185610374e-5,8.822683525175446e-5,5.393353411519927e-5,8.891829991645093e-5,5.367774090447549e-8
821.9999999999856,-0.030562833475338447,4.135661274611011,4.1355932665176915,6.800809331952706e-5,0.8825567798520395,0.8825507194187835,6.060433256016573e-6,-0.0010113235018038103,0.00012144375369015801,-0.001009762921647584,9.744152817198941e-5,1.5605801562262878e-6,5.458874621886575e-5,8.860940314522271e-5,5.4536906006558996e-5,8.946117034887204e-5,5.1840212306756206e-8
822.9999999999856,0.22657806090090235,4.124756306939126,4.125242597502029,0.00048629056290305783,0.8826211206187259,0.8826150657370174,6.054881708461579e-6,0.007795882038050536,-0.0006337363907963456,0.00780350865942431,-0.0006441172599197655,7.626621373773776e-6,5.0592233554469614e-5,8.728586380980654e-5,5.05447448655906e-5,8.775484445928921e-5,4.7488688879010574e-8
823.9999999999856,-0.008824568134355988,4.135202254601862,4.135304623018895,0.00010236841703292754,0.8827118882198938,0.8827058499549266,6.038264967145324e-6,-0.00026711161973165873,4.8878751177102815e-5,-0.00026650619708511636,3.320994969008592e-5,6.054226465423691e-7,4.55930004433563e-5,8.494911604450783e-5,4.553638271108732e-5,8.472351799109551e-5,5.661773226897697e-8
824.9999999999854,0.65864364283044,4.107314910237334,4.108722063406394,0.001407153169060038,0.8827550359386415,0.8827490120494605,6.02388918091723e-6,0.022026734785218438,-0.0019038844216656082,0.02204412823033579,-0.0018901769770074352,1.7393445117350192e-5,4.304268178305459e-5,8.299536306679703e-5,4.295932198548624e-5,8.225507649377124e-5,8.335979756835199e-8
825.9999999999854,0.43132214703746735,4.116664178062972,4.117584183395131,0.0009200053321594126,0.8826940988713298,0.8826880703925626,6.02847876718382e-6,0.014679709240849504,-0.0012378036651332287,0.014692198866471452,-0.0012356765803901945,1.2489625621947553e-5,4.541142874548585e-5,8.286367697839555e-5,4.52970447824418e-5,8.226250796002465e-5,1.1438396304404367e-7
826.9999999999854,0.8213056735262034,4.100673749886937,4.102257025794323,0.0015832759073859393,0.8825751752349301,0.8825691260962146,6.049138715491509e-6,0.02702204622500256,-0.002370706721128318,0.027043728034337137,-0.0023575154853736685,2.1681809334577612e-5,5.023127074129552e-5,8.432441500339406e-5,5.010256662598728e-5,8.440110598928741e-5,1.287041153082369e-7
827.9999999999853,-0.051833502151576845,4.1368192625763704,4.136668518403207,0.00015074417316363053,0.8824724941364013,0.8824664143155593,6.079820841997652e-6,-0.0017448014976143512,0.00018450637277915807,-0.0017431817279712964,0.00015843974461388904,1.6197696430548126e-6,5.405299707495205e-5,8.614112903175384e-5,5.393840496022728e-5,8.695808422226542e-5,1.1459211472477021e-7
828.9999999999853,0.024998708828234656,4.133507261409491,4.133547162765235,3.9901355743943157e-5,0.8825036458120508,0.8824975559491062,6.089862944591573e-6,0.00089578938130885,-4.1389329740293304e-5,0.0008988150889047788,-6.248190064185644e-5,3.0257075959288235e-6,5.149837590189655e-5,8.591064305642371e-5,5.140910219868387e-5,8.672767110893204e-5,8.92737032126808e-8
829.9999999999852,0.5657035274005399,4.111016565048004,4.112224146148838,0.0012075811008340764,0.8826684791456169,0.8826624135147038,6.065630913099085e-6,0.019066551098694793,-0.0016289409570242406,0.019081813316473996,-0.001620652218717534,1.526221777920292e-5,4.288662942760358e-5,8.277580562315843e-5,4.2807079738892124e-5,8.261392239265579e-5,7.954968871145651e-8
830.9999999999852,0.5188628771903676,4.11299052121815,4.114065039534111,0.0010745183159608374,0.8826159785234059,0.8826099101962107,6.068327195185574e-6,0.017550023901341496,-0.0014923784547399557,0.01756463373131083,-0.0014866334417497672,1.4609829969335075e-5,4.4856062153538954e-5,8.232139092792084e-5,4.475866355393135e-5,8.200712969199337e-5,9.73985996076011e-8
831.9999999999852,0.4914493080115715,4.113912558915024,4.1148541157230145,0.0009415568079909065,0.8824945672469541,0.8824884835748552,6.0836720988666215e-6,0.016646040241356304,-0.0014073591962746315,0.016660684209372726,-0.0014072539504253123,1.4643968016422176e-5,4.980747813063271e-5,8.373881005750479e-5,4.968886800810669e-5,8.394406235108932e-5,1.1861012252601603e-7
832.9999999999851,0.040151401398411404,4.132949706407442,4.13300168155912,5.19751516785405e-5,0.8824431818648341,0.8824370828188999,6.099045934182534e-6,0.0014157377514493362,-8.654367138997069e-5,0.0014192973180896591,-0.00010679307636673588,3.559566640322972e-6,5.120051740911113e-5,8.46648663443652e-5,5.108982604522974e-5,8.527165711393862e-5,1.106913638813909e-7
833.9999999999851,0.4355637487232327,4.116197718215441,4.117065987114755,0.0008682688993140175,0.8825014025306375,0.8824953046426566,6.097887980893724e-6,0.014812055661604696,-0.001243977974329622,0.014824968962527081,-0.0012453822113074752,1.2913300922385781e-5,4.748204666585062e-5,8.368042542797391e-5,4.7387939706448986e-5,8.404236607043286e-5,9.41069594016317e-8
834.999999999985,0.4246218758583545,4.1167827170641464,4.117656991098665,0.0008742740345182298,0.8825290339533627,0.8825229387070321,6.0952463305508076e-6,0.014454702802833907,-0.0012146466795149265,0.014467119044380389,-0.0012143186624828679,1.2416241546481938e-5,4.542456337386643e-5,8.260639271307598e-5,4.533319199954828e-5,8.264414557999853e-5,9.137137431814834e-8
835.999999999985,0.41848628475624733,4.116953378238392,4.117771018794959,0.0008176405565665235,0.8824588248253548,0.8824527199398058,6.104885548974259e-6,0.014247207476462416,-0.0011949538444884136,0.014259901220356279,-0.0011967140557344838,1.269374389386256e-5,4.798502707310709e-5,8.308204631859074e-5,4.788466238257897e-5,8.328569452256599e-5,1.0036469052811779e-7
836.999999999985,0.12275084763880795,4.129474568382621,4.129712508113173,0.00023793973055230566,0.8824242427782658,0.882418130490996,6.112287269766092e-6,0.004251601400099425,-0.0003301475629134299,0.004256925249562505,-0.0003449379787358754,5.323849463080392e-6,4.871340403945934e-5,8.342176041879644e-5,4.861104782309287e-5,8.378728462793915e-5,1.0235621636646929e-7
837.9999999999849,0.8518003253117531,4.09948349505261,4.101154108665724,0.001670613613113936,0.8824598273194008,0.8824537165503279,6.110769072864564e-6,0.027943883675092585,-0.0024594895074408966,0.027965738498700366,-0.0024429772732970753,2.1854823607780904e-5,4.616281549389942e-5,8.258761022622494e-5,4.6066348417216576e-5,8.275073975109502e-5,9.646707668284604e-8
838.9999999999849,-0.061367338367087965,4.137369359589616,4.137237095915023,0.00013226367459306942,0.8823757740868109,0.8823696427386684,6.131348142535131e-6,-0.002075547598256512,0.0002078831972306589,-0.002074884883125002,0.00018522815421233722,6.62715131510231e-7,4.939418873036136e-5,8.343639199520116e-5,4.930092201934842e-5,8.388801319152771e-5,9.326671101293554e-8
839.9999999999849,-0.010943678814552467,4.135160063959973,4.135132770106345,2.7293853627874398e-5,0.8823667598927404,0.8823606212275987,6.138665141652844e-6,-0.00034190319128522644,6.084955847701964e-5,-0.0003400665766570325,4.0317142970404986e-5,1.836614628193949e-6,4.891422377300341e-5,8.349162267749776e-5,4.882407713895463e-5,8.399175520084795e-5,9.014663404877614e-8
840.9999999999848,0.41885883854540223,4.117205143672406,4.118131375071052,0.0009262313986466708,0.8825325710922693,0.8825264589278432,6.1121644261419306e-6,0.014271590883502916,-0.0012012491761371888,0.014283179715000725,-0.001197652265396162,1.1588831497809718e-5,4.030010783415258e-5,8.035955061789702e-5,4.021235645101093e-5,7.992956698586665e-5,8.775138314165415e-8
841.9999999999848,0.30962437674379745,4.121940927309649,4.122630982204278,0.000690054894628922,0.8825097610154825,0.8825036515256378,6.109489844696725e-6,0.01061953576034351,-0.0008836162052440178,0.010628688052208403,-0.0008842527273003469,9.152291864893483e-6,4.093434958975018e-5,7.93886907307773e-5,4.0828607966829206e-5,7.870717648276932e-5,1.0574162292097225e-7
842.9999999999847,0.5057432097407116,4.113654397876877,4.114672984709989,0.0010185868331120673,0.8824418299777668,0.882435716941622,6.1130361447281345e-6,0.017126454739284723,-0.0014527584545317414,0.017140877227166288,-0.001448133935634528,1.4422487881565055e-5,4.35171238633458e-5,7.971249771445849e-5,4.3385280452481604e-5,7.926988955230717e-5,1.318434108641954e-7
